,Apartment,Address,City
0,The Dean,458 San Antonio Rd,Moutain View
1,The Village Residences,555 San Antonio Rd,Moutain View
2,Novo,2270 El Camino Real,Moutain View
3,Montrose,1720 W El Camino Real,Moutain View
4,100 Moffett,100 Moffett Blvd,Moutain View
5,Madera,455 W Evelyn Ave,Moutain View
6,Park Place,851 Church St,Moutain View
7,Madrone,111 N Rengstorff Ave,Moutain View
8,Heatherstone,877 Heatherstone Way,Moutain View
9,Maplewood,1885 California St,Moutain View
10,Reserve at Mountain View,870 E El Camino Real,Moutain View
11,Highland Gardens,234 Escuela Ave,Moutain View
12,Sylvan Square,750 Sylvan Ave,Moutain View
13,Revela,200 Infinity Way,Moutain View
14,Central Park At Whisman Station,100 N Whisman Rd,Moutain View
15,Village Lake,777 W Middlefield Rd,Moutain View
16,Americana,707 Continental Cir,Moutain View
17,Latham Square Apartments,2250 Latham St,Moutain View
18,Caltega Apartments II,240 Ortega Avenue,Moutain View
19,Domus on the Boulevard,2650 W El Camino Real,Moutain View
20,Atrium Court,1990 Latham Street,Moutain View
21,Park Taylor Apartments,630 Taylor Court,Moutain View
22,Park Regent,1990 Latham St,Moutain View
23,El Portal,2065 California Street,Moutain View
