,Bedroom,Price
0,1 Bedroom,1995
1,1 Bedroom,2095
2,1 Bedroom,2651
3,2 Bedrooms,0
4,3 Bedrooms,3380
5,1 Bedroom,3083
6,2 Bedrooms,3928
7,3 Bedrooms,0
8,1 Bedroom,2527
9,2 Bedrooms,2705
10,3 Bedrooms,3625
11,1 Bedroom,2526
12,2 Bedrooms,3550
13,3 Bedrooms,4683
14,1 Bedroom,2005
15,2 Bedrooms,2416
16,2 Bedrooms,4513
17,3 Bedrooms,5669
18,Studio,2090
19,1 Bedroom,2340
20,2 Bedrooms,2745
21,1 Bedroom,3346
22,2 Bedrooms,3853
23,3 Bedrooms,0
24,1 Bedroom,3515
25,2 Bedrooms,3390
26,3 Bedrooms,0
27,Studio,2924
28,1 Bedroom,0
29,2 Bedrooms,4428
30,Studio,2407
31,1 Bedroom,2247
32,2 Bedrooms,0
33,1 Bedroom,2753
34,2 Bedrooms,0
35,3 Bedrooms,3882
36,1 Bedroom,2770
37,2 Bedrooms,3515
38,3 Bedrooms,5300
39,1 Bedroom,2095
40,2 Bedrooms,2495
41,Studio,1795
42,1 Bedroom,2145
43,2 Bedrooms,0
44,1 Bedroom,2095
45,2 Bedrooms,2795
46,1 Bedroom,2195
47,2 Bedrooms,0
48,1 Bedroom,2475
49,2 Bedrooms,3015
50,3 Bedrooms,4480
51,1 Bedroom,2350
52,2 Bedrooms,2800
53,3 Bedrooms,0
54,1 Bedroom,0
55,2 Bedrooms,3598
56,1 Bedroom,2538
57,2 Bedrooms,3168
58,Studio,1749
59,1 Bedroom,1826
60,2 Bedrooms,2489
